,VALUE DATE,ID,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,CALLABLE/PUTTABLE,MODIFIED DURATION,EVAL MID PRICE,PRICE_1,PRICE_2,PRICE_3,PRICE_4,PRICE_5,PRICE_6,OUTPUT PRICE
1,2019-09-01,0,3.517,0.0,2.0,5.06,0,0.27,100.406,100.521,0.0,0.0,0.0,0.0,0.0,100.521
2,2019-10-01,0,3.429,0.0,2.0,5.06,0,0.195,100.307,100.406,100.521,0.0,0.0,0.0,0.0,100.406
3,2019-11-01,0,3.435,0.0,2.0,5.06,0,0.111,100.172,100.307,100.406,100.521,0.0,0.0,0.0,100.307
4,2019-12-01,0,3.404,0.0,2.0,5.06,0,0.026,100.041,100.172,100.307,100.406,100.521,0.0,0.0,100.172
6,2019-09-01,1,3.65,0.0,2.0,5.17,0,1.211,101.864,101.832,0.0,0.0,0.0,0.0,0.0,101.832
7,2019-10-01,1,3.587,0.0,2.0,5.17,0,1.136,101.827,101.864,101.832,0.0,0.0,0.0,0.0,101.864
8,2019-11-01,1,3.599,0.0,2.0,5.17,0,1.052,101.688,101.827,101.864,101.832,0.0,0.0,0.0,101.827
9,2019-12-01,1,3.571,0.0,2.0,5.17,0,0.969,101.592,101.688,101.827,101.864,101.832,0.0,0.0,101.688
10,2020-01-01,1,3.526,0.0,2.0,5.17,0,0.911,101.504,101.592,101.688,101.827,101.864,101.832,0.0,101.592
11,2020-02-01,1,3.375,3.0,2.0,5.17,0,0.826,101.491,101.504,101.592,101.688,101.827,101.864,101.832,101.504
12,2020-03-01,1,3.179,2.7,2.0,5.17,0,0.751,101.508,101.491,101.504,101.592,101.688,101.827,101.864,101.491
13,2020-04-01,1,3.237,2.7,2.0,5.17,0,0.67,101.31,101.508,101.491,101.504,101.592,101.688,101.827,101.508
14,2020-05-01,1,3.079,2.3,2.0,5.17,0,0.581,101.236,101.31,101.508,101.491,101.504,101.592,101.688,101.31
15,2020-06-01,1,2.814,2.3,2.0,5.17,0,0.506,101.221,101.236,101.31,101.508,101.491,101.504,101.592,101.236
16,2020-07-01,1,2.826,2.3,2.0,5.17,0,0.44,101.027,101.221,101.236,101.31,101.508,101.491,101.504,101.221
17,2020-08-01,1,2.547,0.0,2.0,5.17,0,0.352,100.916,101.027,101.221,101.236,101.31,101.508,101.491,101.027
18,2020-09-01,1,2.46,0.0,2.0,5.17,0,0.273,100.733,100.916,101.027,101.221,101.236,101.31,101.508,100.916
19,2020-10-01,1,2.471,0.0,2.0,5.17,0,0.192,100.511,100.733,100.916,101.027,101.221,101.236,101.31,100.733
20,2020-11-01,1,2.313,0.0,2.0,5.17,0,0.105,100.296,100.511,100.733,100.916,101.027,101.221,101.236,100.511
22,2019-09-01,2,3.587,0.0,2.0,5.12,0,0.747,101.152,101.203,0.0,0.0,0.0,0.0,0.0,101.203
23,2019-10-01,2,3.509,0.0,2.0,5.12,0,0.672,101.093,101.152,101.203,0.0,0.0,0.0,0.0,101.152
24,2019-11-01,2,3.541,0.0,2.0,5.12,0,0.588,100.942,101.093,101.152,101.203,0.0,0.0,0.0,101.093
25,2019-12-01,2,3.504,0.0,2.0,5.12,0,0.505,100.834,100.942,101.093,101.152,101.203,0.0,0.0,100.942
26,2020-01-01,2,3.46,0.0,2.0,5.12,0,0.436,100.719,100.834,100.942,101.093,101.152,101.203,0.0,100.834
