VALUE DATE,STOCK CODE,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,CALLABLE/PUTTABLE,MODIFIED DURATION,EVAL MID PRICE,REMAINING TENURE,OUTPUT PRICE,RATING TARGET
1/8/2019,DJ140003,3.772,0,2,5.17,0,1.299,101.832,24,101.864,107.2478351
1/9/2019,DJ140003,3.65,0,2,5.17,0,1.211,101.864,24,101.827,107.2478351
1/10/2019,DJ140003,3.587,0,2,5.17,0,1.136,101.827,24,101.688,107.2478351
1/11/2019,DJ140003,3.599,0,2,5.17,0,1.052,101.688,24,101.592,107.2478351
1/12/2019,DJ140003,3.571,0,2,5.17,0,0.969,101.592,12,101.504,107.2478351
1/1/2020,DJ140003,3.526,0,2,5.17,0,0.911,101.504,12,101.491,107.2478351
1/2/2020,DJ140003,3.375,3,2,5.17,0,0.826,101.491,12,101.508,107.2478351
1/3/2020,DJ140003,3.179,2.7,2,5.17,0,0.751,101.508,12,101.31,107.2478351
1/4/2020,DJ140003,3.237,2.7,2,5.17,0,0.67,101.31,12,101.236,107.2478351
1/5/2020,DJ140003,3.079,2.3,2,5.17,0,0.581,101.236,12,101.221,107.2478351
1/6/2020,DJ140003,2.814,2.3,2,5.17,0,0.506,101.221,6,101.027,107.2478351
1/7/2020,DJ140003,2.826,2.3,2,5.17,0,0.44,101.027,6,100.916,107.2478351
1/8/2020,DJ140003,2.547,0,2,5.17,0,0.352,100.916,6,100.733,107.2478351
1/9/2020,DJ140003,2.46,0,2,5.17,0,0.273,100.733,3,100.511,107.2478351
1/10/2020,DJ140003,2.471,0,2,5.17,0,0.192,100.511,3,100.296,107.2478351
1/8/2019,DJ140039,3.685,0,2,5.12,0,0.835,101.203,12,101.152,107.2478351
1/9/2019,DJ140039,3.587,0,2,5.12,0,0.747,101.152,12,101.093,107.2478351
1/10/2019,DJ140039,3.509,0,2,5.12,0,0.672,101.093,12,100.942,107.2478351
1/11/2019,DJ140039,3.541,0,2,5.12,0,0.588,100.942,12,100.834,107.2478351
1/12/2019,DJ140039,3.504,0,2,5.12,0,0.505,100.834,6,100.719,107.2478351
1/1/2020,DJ140039,3.46,0,2,5.12,0,0.436,100.719,6,100.625,107.2478351
1/2/2020,DJ140039,3.313,0,2,5.12,0,0.351,100.625,6,100.543,107.2478351
1/3/2020,DJ140039,3.114,0,2,5.12,0,0.276,100.543,3,100.385,107.2478351
1/4/2020,DJ140039,3.097,0,2,5.12,0,0.195,100.385,3,100.223,107.2478351
1/5/2020,DJ140039,2.94,0,2,5.12,0,0.105,100.223,3,100.068,107.2478351
1/8/2019,DK140037,3.857,0,2,5.28,0,2.192,103.172,36,103.424,107.2478351
1/9/2019,DK140037,3.689,0,2,5.28,0,2.106,103.424,36,103.353,107.2478351
1/10/2019,DK140037,3.67,0,2,5.28,0,2.031,103.353,36,103.248,107.2478351
1/11/2019,DK140037,3.661,0,2,5.28,0,1.947,103.248,36,103.176,107.2478351
1/12/2019,DK140037,3.635,0,2,5.28,0,1.864,103.176,24,103.082,107.2478351
