,EVAL MID PRICE
0,100.521
1,100.406
2,100.307
3,100.172
4,101.832
5,101.864
6,101.827
7,101.688
8,101.504
9,101.491
10,101.508
11,101.31
12,101.236
13,101.221
14,101.027
15,100.916
16,100.733
17,100.511
18,100.296
19,101.203
20,101.152
21,101.093
22,100.942
23,100.719
24,100.625
25,100.543
26,100.385
27,100.223
28,100.068
29,103.172
30,103.424
31,103.353
32,103.248
33,103.082
34,103.221
35,103.434
36,102.933
37,103.217
38,103.368
39,103.176
40,103.383
41,103.297
42,103.03
43,102.943
44,102.509
45,102.646
46,102.597
47,102.474
48,102.289
49,102.344
50,102.47
51,102.148
52,102.238
53,102.325
54,102.141
55,102.19
56,102.052
57,101.803
58,101.663
59,104.572
60,105.023
61,104.909
62,104.799
63,104.648
64,105.004
65,105.423
66,104.429
67,105.23
68,105.45
69,105.243
70,105.778
71,105.793
72,105.512
73,105.463
74,103.856
75,104.222
76,104.126
77,104.031
78,103.866
79,104.115
80,104.433
81,103.709
82,104.229
83,104.425
84,104.22
85,104.577
86,104.558
87,104.272
88,104.202
89,106.054
90,106.772
91,106.564
92,106.364
93,106.214
94,106.801
95,107.405
96,105.784
97,107.162
98,107.389
99,107.161
100,108.079
101,108.068
102,107.812
103,107.824
104,105.288
105,105.87
106,105.73
107,105.581
108,105.431
109,105.888
110,106.41
111,105.107
112,106.2
113,106.425
114,106.214
115,106.95
116,106.949
117,106.681
118,106.66
119,101.777
120,101.695
121,101.572
122,101.375
123,101.086
124,100.936
125,100.858
126,100.657
127,100.482
128,100.332
129,100.105
130,107.636
131,108.623
132,108.269
133,107.979
134,107.822
135,108.671
136,109.49
137,107.191
138,109.126
139,109.383
140,109.088
141,110.278
142,110.342
143,110.069
144,110.12
145,106.83
146,107.691
147,107.404
148,107.148
149,106.99
150,107.717
151,108.419
152,106.472
153,108.124
154,108.361
155,108.091
156,109.161
157,109.194
158,108.932
159,108.965
160,109.125
161,110.36
162,109.872
163,109.571
164,109.471
165,110.595
166,111.644
167,108.52
168,111.104
169,111.394
170,111.058
171,112.449
172,112.666
173,112.372
174,112.472
