,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
0,0,3.581,0.0,2,5.06,6,0,1,0,0,0,0,0,0,0,0,0
1,0,3.517,0.0,2,5.06,3,0,1,0,0,0,0,0,0,0,0,0
2,0,3.429,0.0,2,5.06,3,0,1,0,0,0,0,0,0,0,0,0
3,0,3.435,0.0,2,5.06,3,0,1,0,0,0,0,0,0,0,0,0
4,1,3.772,0.0,2,5.17,24,0,1,0,0,0,0,0,0,0,0,0
5,1,3.65,0.0,2,5.17,24,0,1,0,0,0,0,0,0,0,0,0
6,1,3.587,0.0,2,5.17,24,0,1,0,0,0,0,0,0,0,0,0
7,1,3.599,0.0,2,5.17,24,0,1,0,0,0,0,0,0,0,0,0
8,1,3.526,0.0,2,5.17,12,0,1,0,0,0,0,0,0,0,0,0
9,1,3.375,3.0,2,5.17,12,0,1,0,0,0,0,0,0,0,0,0
10,1,3.179,2.7,2,5.17,12,0,1,0,0,0,0,0,0,0,0,0
11,1,3.237,2.7,2,5.17,12,0,1,0,0,0,0,0,0,0,0,0
12,1,3.079,2.3,2,5.17,12,0,1,0,0,0,0,0,0,0,0,0
13,1,2.814,2.3,2,5.17,6,0,1,0,0,0,0,0,0,0,0,0
14,1,2.826,2.3,2,5.17,6,0,1,0,0,0,0,0,0,0,0,0
15,1,2.547,0.0,2,5.17,6,0,1,0,0,0,0,0,0,0,0,0
16,1,2.46,0.0,2,5.17,3,0,1,0,0,0,0,0,0,0,0,0
17,1,2.471,0.0,2,5.17,3,0,1,0,0,0,0,0,0,0,0,0
18,1,2.313,0.0,2,5.17,3,0,1,0,0,0,0,0,0,0,0,0
19,2,3.685,0.0,2,5.12,12,0,1,0,0,0,0,0,0,0,0,0
20,2,3.587,0.0,2,5.12,12,0,1,0,0,0,0,0,0,0,0,0
21,2,3.509,0.0,2,5.12,12,0,1,0,0,0,0,0,0,0,0,0
22,2,3.541,0.0,2,5.12,12,0,1,0,0,0,0,0,0,0,0,0
23,2,3.46,0.0,2,5.12,6,0,1,0,0,0,0,0,0,0,0,0
24,2,3.313,0.0,2,5.12,6,0,1,0,0,0,0,0,0,0,0,0
25,2,3.114,0.0,2,5.12,3,0,1,0,0,0,0,0,0,0,0,0
26,2,3.097,0.0,2,5.12,3,0,1,0,0,0,0,0,0,0,0,0
27,2,2.94,0.0,2,5.12,3,0,1,0,0,0,0,0,0,0,0,0
28,2,2.687,0.0,2,5.12,3,0,1,0,0,0,0,0,0,0,0,0
29,3,3.857,0.0,2,5.28,36,0,1,0,0,0,0,0,0,0,0,0
30,3,3.689,0.0,2,5.28,36,0,1,0,0,0,0,0,0,0,0,0
31,3,3.67,0.0,2,5.28,36,0,1,0,0,0,0,0,0,0,0,0
32,3,3.661,0.0,2,5.28,36,0,1,0,0,0,0,0,0,0,0,0
33,3,3.617,0.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
34,3,3.464,3.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
35,3,3.267,2.7,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
36,3,3.475,2.7,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
37,3,3.199,2.3,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
38,3,3.001,2.3,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
39,3,3.012,2.3,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
40,3,2.712,0.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
41,3,2.625,0.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
42,3,2.673,0.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
43,3,2.554,0.0,2,5.28,24,0,1,0,0,0,0,0,0,0,0,0
44,4,3.817,0.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
45,4,3.669,0.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
46,4,3.631,0.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
47,4,3.63,0.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
48,4,3.583,0.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
49,4,3.437,3.3,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
50,4,3.233,3.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
51,4,3.374,3.0,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
52,4,3.146,2.3,2,5.23,24,0,1,0,0,0,0,0,0,0,0,0
53,4,2.913,2.3,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
54,4,2.915,2.3,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
55,4,2.618,0.0,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
56,4,2.535,0.0,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
57,4,2.583,0.0,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
58,4,2.442,0.0,2,5.23,12,0,1,0,0,0,0,0,0,0,0,0
59,5,3.924,0.0,2,5.39,60,0,1,0,0,0,0,0,0,0,0,0
60,5,3.743,0.0,2,5.39,60,0,1,0,0,0,0,0,0,0,0,0
61,5,3.744,0.0,2,5.39,60,0,1,0,0,0,0,0,0,0,0,0
62,5,3.74,0.0,2,5.39,60,0,1,0,0,0,0,0,0,0,0,0
63,5,3.707,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
64,5,3.53,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
65,5,3.328,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
66,5,3.648,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
67,5,3.278,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
68,5,3.131,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
69,5,3.147,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
70,5,2.837,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
71,5,2.747,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
72,5,2.783,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
73,5,2.705,0.0,2,5.39,36,0,1,0,0,0,0,0,0,0,0,0
74,6,3.899,2.7,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
75,6,3.718,2.3,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
76,6,3.712,2.3,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
77,6,3.701,2.3,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
78,6,3.666,0.0,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
79,6,3.498,0.0,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
80,6,3.297,0.0,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
81,6,3.562,0.0,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
82,6,3.239,0.0,2,5.34,36,0,1,0,0,0,0,0,0,0,0,0
83,6,3.067,0.0,2,5.34,24,0,1,0,0,0,0,0,0,0,0,0
84,6,3.084,0.0,2,5.34,24,0,1,0,0,0,0,0,0,0,0,0
85,6,2.785,0.0,2,5.34,24,0,1,0,0,0,0,0,0,0,0,0
86,6,2.687,0.0,2,5.34,24,0,1,0,0,0,0,0,0,0,0,0
87,6,2.734,0.0,2,5.34,24,0,1,0,0,0,0,0,0,0,0,0
