VALUE DATE,ID,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,CALLABLE/PUTTABLE,MODIFIED DURATION,EVAL MID PRICE
2019-08-01,0,3.581,0.0,2,5.06,6,0,0.358,100.521
2019-09-03,0,3.517,0.0,2,5.06,3,0,0.27,100.406
2019-10-01,0,3.429,0.0,2,5.06,3,0,0.195,100.307
2019-11-01,0,3.435,0.0,2,5.06,3,0,0.111,100.172
2019-08-01,1,3.772,0.0,2,5.17,24,0,1.299,101.832
2019-09-03,1,3.65,0.0,2,5.17,24,0,1.211,101.864
2019-10-01,1,3.587,0.0,2,5.17,24,0,1.136,101.827
2019-11-01,1,3.599,0.0,2,5.17,24,0,1.052,101.688
2020-01-02,1,3.526,0.0,2,5.17,12,0,0.911,101.504
2020-02-03,1,3.375,3.0,2,5.17,12,0,0.826,101.491
2020-03-02,1,3.179,2.7,2,5.17,12,0,0.751,101.508
2020-04-01,1,3.237,2.7,2,5.17,12,0,0.67,101.31
2020-05-04,1,3.079,2.3,2,5.17,12,0,0.581,101.236
2020-06-01,1,2.814,2.3,2,5.17,6,0,0.506,101.221
2020-07-01,1,2.826,2.3,2,5.17,6,0,0.44,101.027
2020-08-03,1,2.547,0.0,2,5.17,6,0,0.352,100.916
2020-09-01,1,2.46,0.0,2,5.17,3,0,0.273,100.733
2020-10-01,1,2.471,0.0,2,5.17,3,0,0.192,100.511
2020-11-02,1,2.313,0.0,2,5.17,3,0,0.105,100.296
2019-08-01,2,3.685,0.0,2,5.12,12,0,0.835,101.203
2019-09-03,2,3.587,0.0,2,5.12,12,0,0.747,101.152
2019-10-01,2,3.509,0.0,2,5.12,12,0,0.672,101.093
2019-11-01,2,3.541,0.0,2,5.12,12,0,0.588,100.942
2020-01-02,2,3.46,0.0,2,5.12,6,0,0.436,100.719
2020-02-03,2,3.313,0.0,2,5.12,6,0,0.351,100.625
2020-03-02,2,3.114,0.0,2,5.12,3,0,0.276,100.543
2020-04-01,2,3.097,0.0,2,5.12,3,0,0.195,100.385
2020-05-04,2,2.94,0.0,2,5.12,3,0,0.105,100.223
2020-06-01,2,2.687,0.0,2,5.12,3,0,0.029,100.068
2019-08-01,3,3.857,0.0,2,5.28,36,0,2.192,103.172
2019-09-03,3,3.689,0.0,2,5.28,36,0,2.106,103.424
2019-10-01,3,3.67,0.0,2,5.28,36,0,2.031,103.353
2019-11-01,3,3.661,0.0,2,5.28,36,0,1.947,103.248
