,VALUE DATE,ID,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,CALLABLE/PUTTABLE,MODIFIED DURATION,EVAL MID PRICE,MONTH,PRICE_1,PRICE_2,PRICE_3,PRICE_4,PRICE_5,PRICE_6,OUTPUT PRICE
1,2019-09-03,0,3.517,0.0,2,5.06,3,0,0.27,100.406,9,100.521,0.0,0.0,0.0,0.0,0.0,100.521
2,2019-10-01,0,3.429,0.0,2,5.06,3,0,0.195,100.307,10,100.406,100.521,0.0,0.0,0.0,0.0,100.406
3,2019-11-01,0,3.435,0.0,2,5.06,3,0,0.111,100.172,11,100.307,100.406,100.521,0.0,0.0,0.0,100.307
5,2019-09-03,1,3.65,0.0,2,5.17,24,0,1.211,101.864,9,101.832,0.0,0.0,0.0,0.0,0.0,101.832
6,2019-10-01,1,3.587,0.0,2,5.17,24,0,1.136,101.827,10,101.864,101.832,0.0,0.0,0.0,0.0,101.864
7,2019-11-01,1,3.599,0.0,2,5.17,24,0,1.052,101.688,11,101.827,101.864,101.832,0.0,0.0,0.0,101.827
8,2020-01-02,1,3.526,0.0,2,5.17,12,0,0.911,101.504,1,101.688,101.827,101.864,101.832,0.0,0.0,101.688
9,2020-02-03,1,3.375,3.0,2,5.17,12,0,0.826,101.491,2,101.504,101.688,101.827,101.864,101.832,0.0,101.504
10,2020-03-02,1,3.179,2.7,2,5.17,12,0,0.751,101.508,3,101.491,101.504,101.688,101.827,101.864,101.832,101.491
11,2020-04-01,1,3.237,2.7,2,5.17,12,0,0.67,101.31,4,101.508,101.491,101.504,101.688,101.827,101.864,101.508
12,2020-05-04,1,3.079,2.3,2,5.17,12,0,0.581,101.236,5,101.31,101.508,101.491,101.504,101.688,101.827,101.31
13,2020-06-01,1,2.814,2.3,2,5.17,6,0,0.506,101.221,6,101.236,101.31,101.508,101.491,101.504,101.688,101.236
14,2020-07-01,1,2.826,2.3,2,5.17,6,0,0.44,101.027,7,101.221,101.236,101.31,101.508,101.491,101.504,101.221
15,2020-08-03,1,2.547,0.0,2,5.17,6,0,0.352,100.916,8,101.027,101.221,101.236,101.31,101.508,101.491,101.027
16,2020-09-01,1,2.46,0.0,2,5.17,3,0,0.273,100.733,9,100.916,101.027,101.221,101.236,101.31,101.508,100.916
17,2020-10-01,1,2.471,0.0,2,5.17,3,0,0.192,100.511,10,100.733,100.916,101.027,101.221,101.236,101.31,100.733
18,2020-11-02,1,2.313,0.0,2,5.17,3,0,0.105,100.296,11,100.511,100.733,100.916,101.027,101.221,101.236,100.511
20,2019-09-03,2,3.587,0.0,2,5.12,12,0,0.747,101.152,9,101.203,0.0,0.0,0.0,0.0,0.0,101.203
21,2019-10-01,2,3.509,0.0,2,5.12,12,0,0.672,101.093,10,101.152,101.203,0.0,0.0,0.0,0.0,101.152
22,2019-11-01,2,3.541,0.0,2,5.12,12,0,0.588,100.942,11,101.093,101.152,101.203,0.0,0.0,0.0,101.093
23,2020-01-02,2,3.46,0.0,2,5.12,6,0,0.436,100.719,1,100.942,101.093,101.152,101.203,0.0,0.0,100.942
24,2020-02-03,2,3.313,0.0,2,5.12,6,0,0.351,100.625,2,100.719,100.942,101.093,101.152,101.203,0.0,100.719
25,2020-03-02,2,3.114,0.0,2,5.12,3,0,0.276,100.543,3,100.625,100.719,100.942,101.093,101.152,101.203,100.625
26,2020-04-01,2,3.097,0.0,2,5.12,3,0,0.195,100.385,4,100.543,100.625,100.719,100.942,101.093,101.152,100.543
27,2020-05-04,2,2.94,0.0,2,5.12,3,0,0.105,100.223,5,100.385,100.543,100.625,100.719,100.942,101.093,100.385
28,2020-06-01,2,2.687,0.0,2,5.12,3,0,0.029,100.068,6,100.223,100.385,100.543,100.625,100.719,100.942,100.223
30,2019-09-03,3,3.689,0.0,2,5.28,36,0,2.106,103.424,9,103.172,0.0,0.0,0.0,0.0,0.0,103.172
31,2019-10-01,3,3.67,0.0,2,5.28,36,0,2.031,103.353,10,103.424,103.172,0.0,0.0,0.0,0.0,103.424
32,2019-11-01,3,3.661,0.0,2,5.28,36,0,1.947,103.248,11,103.353,103.424,103.172,0.0,0.0,0.0,103.353
33,2020-01-02,3,3.617,0.0,2,5.28,24,0,1.829,103.082,1,103.248,103.353,103.424,103.172,0.0,0.0,103.248
34,2020-02-03,3,3.464,3.0,2,5.28,24,0,1.745,103.221,2,103.082,103.248,103.353,103.424,103.172,0.0,103.082
35,2020-03-02,3,3.267,2.7,2,5.28,24,0,1.671,103.434,3,103.221,103.082,103.248,103.353,103.424,103.172,103.221
36,2020-04-01,3,3.475,2.7,2,5.28,24,0,1.588,102.933,4,103.434,103.221,103.082,103.248,103.353,103.424,103.434
37,2020-05-04,3,3.199,2.3,2,5.28,24,0,1.502,103.217,5,102.933,103.434,103.221,103.082,103.248,103.353,102.933
38,2020-06-01,3,3.001,2.3,2,5.28,24,0,1.428,103.368,6,103.217,102.933,103.434,103.221,103.082,103.248,103.217
39,2020-07-01,3,3.012,2.3,2,5.28,24,0,1.384,103.176,7,103.368,103.217,102.933,103.434,103.221,103.082,103.368
40,2020-08-03,3,2.712,0.0,2,5.28,24,0,1.297,103.383,8,103.176,103.368,103.217,102.933,103.434,103.221,103.176
41,2020-09-01,3,2.625,0.0,2,5.28,24,0,1.219,103.297,9,103.383,103.176,103.368,103.217,102.933,103.434,103.383
42,2020-10-01,3,2.673,0.0,2,5.28,24,0,1.138,103.03,10,103.297,103.383,103.176,103.368,103.217,102.933,103.297
43,2020-11-02,3,2.554,0.0,2,5.28,24,0,1.052,102.943,11,103.03,103.297,103.383,103.176,103.368,103.217,103.03
45,2019-09-03,4,3.669,0.0,2,5.23,24,0,1.665,102.646,9,102.509,0.0,0.0,0.0,0.0,0.0,102.509
46,2019-10-01,4,3.631,0.0,2,5.23,24,0,1.59,102.597,10,102.646,102.509,0.0,0.0,0.0,0.0,102.646
47,2019-11-01,4,3.63,0.0,2,5.23,24,0,1.507,102.474,11,102.597,102.646,102.509,0.0,0.0,0.0,102.597
